meter,date,time,kw
82445252,2024-08-19,13:00:00.000,1.648
82445252,2024-08-19,13:15:00.000,1.764
82445252,2024-08-19,13:30:00.000,1.752
82445252,2024-08-19,13:45:00.000,1.756
82445252,2024-08-19,14:00:00.000,1.7
82445252,2024-08-19,14:15:00.000,1.728
82445252,2024-08-19,14:30:00.000,1.704
82445252,2024-08-19,14:45:00.000,1.732
82445252,2024-08-19,15:00:00.000,1.676
82445252,2024-08-19,15:15:00.000,1.6
82445252,2024-08-19,15:30:00.000,1.588
82445252,2024-08-19,15:45:00.000,1.656
82445252,2024-08-19,16:00:00.000,1.812
82445252,2024-08-19,16:15:00.000,1.784
82445252,2024-08-19,16:30:00.000,1.6
82445252,2024-08-19,16:45:00.000,1.596
82445252,2024-08-19,17:00:00.000,1.656
82445252,2024-08-19,17:15:00.000,1.724
82445252,2024-08-19,17:30:00.000,1.708
82445252,2024-08-19,17:45:00.000,1.708
82445252,2024-08-19,18:00:00.000,1.812
82445252,2024-08-19,18:15:00.000,2.008
82445252,2024-08-19,18:30:00.000,1.728
82445252,2024-08-19,18:45:00.000,1.744
82445252,2024-08-19,19:00:00.000,1.724
82445252,2024-08-19,19:15:00.000,1.768
82445252,2024-08-19,19:30:00.000,1.76
82445252,2024-08-19,19:45:00.000,1.568
82445252,2024-08-19,20:00:00.000,1.484
82445252,2024-08-19,20:15:00.000,1.484
82445252,2024-08-19,20:30:00.000,1.584
82445252,2024-08-19,20:45:00.000,1.612
82445252,2024-08-19,21:00:00.000,1.56
82445252,2024-08-19,21:15:00.000,1.54
82445252,2024-08-19,21:30:00.000,1.528
82445252,2024-08-19,21:45:00.000,1.536
82445252,2024-08-19,22:00:00.000,1.444
82445252,2024-08-19,22:15:00.000,1.248
82445252,2024-08-19,22:30:00.000,1.316
82445252,2024-08-19,22:45:00.000,1.46
82445252,2024-08-19,23:00:00.000,1.408
82445252,2024-08-19,23:15:00.000,1.104
82445252,2024-08-19,23:30:00.000,1.176
82445252,2024-08-19,23:45:00.000,1.24
82445252,2024-08-20,00:00:00.000,1.188
82445252,2024-08-20,00:15:00.000,1.244
82445252,2024-08-20,00:30:00.000,1.256
82445252,2024-08-20,00:45:00.000,1.18
82445252,2024-08-20,01:00:00.000,1.272
82445252,2024-08-20,01:15:00.000,1.036
82445252,2024-08-20,01:30:00.000,0.648
82445252,2024-08-20,01:45:00.000,1.028
82445252,2024-08-20,02:00:00.000,1.092
82445252,2024-08-20,02:15:00.000,0.9
82445252,2024-08-20,02:30:00.000,1.14
82445252,2024-08-20,02:45:00.000,0.604
82445252,2024-08-20,03:00:00.000,0.612
82445252,2024-08-20,03:15:00.000,0.944
82445252,2024-08-20,03:30:00.000,0.82
82445252,2024-08-20,03:45:00.000,0.688
82445252,2024-08-20,04:00:00.000,0.68
82445252,2024-08-20,04:15:00.000,1
82445252,2024-08-20,04:30:00.000,0.84
82445252,2024-08-20,04:45:00.000,0.588
82445252,2024-08-20,05:00:00.000,0.636
82445252,2024-08-20,05:15:00.000,0.828
82445252,2024-08-20,05:30:00.000,0.88
82445252,2024-08-20,05:45:00.000,0.692
82445252,2024-08-20,06:00:00.000,0.796
82445252,2024-08-20,06:15:00.000,0.808
82445252,2024-08-20,06:30:00.000,0.684
82445252,2024-08-20,06:45:00.000,0.608
82445252,2024-08-20,07:00:00.000,0.828
82445252,2024-08-20,07:15:00.000,0.78
82445252,2024-08-20,07:30:00.000,0.692
82445252,2024-08-20,07:45:00.000,0.8
82445252,2024-08-20,08:00:00.000,0.816
82445252,2024-08-20,08:15:00.000,0.772
82445252,2024-08-20,08:30:00.000,0.412
82445252,2024-08-20,08:45:00.000,1.032
82445252,2024-08-20,09:00:00.000,1.188
82445252,2024-08-20,09:15:00.000,0.856
82445252,2024-08-20,09:30:00.000,0.488
82445252,2024-08-20,09:45:00.000,0.124
82445252,2024-08-20,10:00:00.000,0.148
82445252,2024-08-20,10:15:00.000,0.104
82445252,2024-08-20,10:30:00.000,0.028
82445252,2024-08-20,10:45:00.000,0.032
82445252,2024-08-20,11:00:00.000,0.212
82445252,2024-08-20,11:15:00.000,0.376
82445252,2024-08-20,11:30:00.000,0.104
82445252,2024-08-20,11:45:00.000,0.176
82445252,2024-08-20,12:00:00.000,0.16
82445252,2024-08-20,12:15:00.000,0.148
82445252,2024-08-20,12:30:00.000,0.068
82445252,2024-08-20,12:45:00.000,0.144
82445252,2024-08-20,13:00:00.000,0.164
82445252,2024-08-20,13:15:00.000,0.196
82445252,2024-08-20,13:30:00.000,0.104
82445252,2024-08-20,13:45:00.000,0.028
82445252,2024-08-20,14:00:00.000,0.032
82445252,2024-08-20,14:15:00.000,0.152
82445252,2024-08-20,14:30:00.000,0.256
82445252,2024-08-20,14:45:00.000,0.14
82445252,2024-08-20,15:00:00.000,0.068
82445252,2024-08-20,15:15:00.000,0.072
82445252,2024-08-20,15:30:00.000,0.152
82445252,2024-08-20,15:45:00.000,0.1
82445252,2024-08-20,16:00:00.000,0.072
82445252,2024-08-20,16:15:00.000,0.136
82445252,2024-08-20,16:30:00.000,0.232
82445252,2024-08-20,16:45:00.000,0.184
82445252,2024-08-20,17:00:00.000,0.048
82445252,2024-08-20,17:15:00.000,0.028
82445252,2024-08-20,17:30:00.000,0.088
82445252,2024-08-20,17:45:00.000,0.208
82445252,2024-08-20,18:00:00.000,0.208
82445252,2024-08-20,18:15:00.000,0.128
82445252,2024-08-20,18:30:00.000,0.076
82445252,2024-08-20,18:45:00.000,0.152
82445252,2024-08-20,19:00:00.000,0.148
82445252,2024-08-20,19:15:00.000,0.036
82445252,2024-08-20,19:30:00.000,0.108
82445252,2024-08-20,19:45:00.000,0.228
82445252,2024-08-20,20:00:00.000,0.248
82445252,2024-08-20,20:15:00.000,0.124
82445252,2024-08-20,20:30:00.000,0.028
82445252,2024-08-20,20:45:00.000,0.08
82445252,2024-08-20,21:00:00.000,0.156
82445252,2024-08-20,21:15:00.000,0.208
82445252,2024-08-20,21:30:00.000,0.132
82445252,2024-08-20,21:45:00.000,0.128
82445252,2024-08-20,22:00:00.000,0.196
82445252,2024-08-20,22:15:00.000,0.148
82445252,2024-08-20,22:30:00.000,0.068
82445252,2024-08-20,22:45:00.000,0.028
82445252,2024-08-20,23:00:00.000,0.172
82445252,2024-08-20,23:15:00.000,0.256
82445252,2024-08-20,23:30:00.000,0.216
82445252,2024-08-20,23:45:00.000,0.076
82445252,2024-08-21,00:00:00.000,0.048
82445252,2024-08-21,00:15:00.000,0.152
82445252,2024-08-21,00:30:00.000,0.152
82445252,2024-08-21,00:45:00.000,0.128
82445252,2024-08-21,01:00:00.000,0.136
82445252,2024-08-21,01:15:00.000,0.208
82445252,2024-08-21,01:30:00.000,0.204
82445252,2024-08-21,01:45:00.000,0.116
82445252,2024-08-21,02:00:00.000,0.028
82445252,2024-08-21,02:15:00.000,0.048
82445252,2024-08-21,02:30:00.000,0.224
82445252,2024-08-21,02:45:00.000,0.252
82445252,2024-08-21,03:00:00.000,0.156
82445252,2024-08-21,03:15:00.000,0.092
82445252,2024-08-21,03:30:00.000,0.108
82445252,2024-08-21,03:45:00.000,0.152
82445252,2024-08-21,04:00:00.000,0.112
82445252,2024-08-21,04:15:00.000,0.084
82445252,2024-08-21,04:30:00.000,0.16
82445252,2024-08-21,04:45:00.000,0.256
82445252,2024-08-21,05:00:00.000,0.456
82445252,2024-08-21,05:15:00.000,0.184
82445252,2024-08-21,05:30:00.000,0.092
82445252,2024-08-21,05:45:00.000,0.264
82445252,2024-08-21,06:00:00.000,0.268
82445252,2024-08-21,06:15:00.000,0.216
82445252,2024-08-21,06:30:00.000,0.128
82445252,2024-08-21,06:45:00.000,0.296
82445252,2024-08-21,07:00:00.000,0.032
82445252,2024-08-21,07:15:00.000,0.172
82445252,2024-08-21,07:30:00.000,0.172
82445252,2024-08-21,07:45:00.000,0.216
82445252,2024-08-21,08:00:00.000,0.256
82445252,2024-08-21,08:15:00.000,0.248
82445252,2024-08-21,08:30:00.000,0.08
82445252,2024-08-21,08:45:00.000,0.036
82445252,2024-08-21,09:00:00.000,0.152
82445252,2024-08-21,09:15:00.000,0.716
82445252,2024-08-21,09:30:00.000,0.984
82445252,2024-08-21,09:45:00.000,0.76
82445252,2024-08-21,10:00:00.000,0.776
82445252,2024-08-21,10:15:00.000,0.848
82445252,2024-08-21,10:30:00.000,0.732
82445252,2024-08-21,10:45:00.000,0.724
82445252,2024-08-21,11:00:00.000,1.2
82445252,2024-08-21,11:15:00.000,0.488
82445252,2024-08-21,11:30:00.000,0.28
82445252,2024-08-21,11:45:00.000,0.152
82445252,2024-08-21,12:00:00.000,0.14
82445252,2024-08-21,12:15:00.000,0.224
82445252,2024-08-21,12:30:00.000,0.256
82445252,2024-08-21,12:45:00.000,0.184
82445252,2024-08-21,13:00:00.000,0.04
82445252,2024-08-21,13:15:00.000,0.636
82445252,2024-08-21,13:30:00.000,1.58
82445252,2024-08-21,13:45:00.000,1.732
